  64 32 10 1 (0.7 0.4 10000) (0.01)
    fail match
  0    7   171
  1   19   163
  2   17   160
  3   23   161
  4   31   150
  5    9   173
  6    6   175
  7   21   158
  8   18   156
  9   20   160


Soll,Ist
3,2.9585116790219863
0,0.026378832855337122
1,0.9676929739096051
2,8.095627798933211
3,2.9585116790219863
4,3.9888710571399977
5,9.086141898064371
6,5.9670546310796055
7,7.004785839710869
8,8.115111622395947
9,9.05662340210897
0,0.0295371671244771
1,0.9536478709077998
2,2.0648757905970996
3,3.006242679267625
4,3.986840317774225
5,5.034191627621498
6,6.074848621030632
7,7.062272208009351
8,8.052414675310672
9,8.798662808795
0,0.02715217988971969
1,0.9511610360618985
2,1.9279446667153046
3,2.887576909519047
4,3.975604136831292
5,4.988111197793649
6,6.106854143227759
7,7.903043131179798
8,8.004594678661917
9,7.277454742309289
0,0.026739222629003013
9,8.965245124391604
5,5.043967622013147
5,5.085587845133505
6,5.782537653435958
5,5.022634604077143
0,0.023774574567964998
9,2.565441636417808
8,7.906070353551718
9,9.129155080373918
8,8.022431160574984
4,3.995454756055051
1,0.9065004692205616
7,7.364762791244573
7,6.992363254262337
3,2.976203095575807
5,5.45457973800275
1,0.9364686711114385
0,0.037084029471683745
0,0.037883175937967126
2,2.568838129082801
2,7.924037868207777
7,6.974355134773892
8,7.801168623862389
2,7.653650668588552
0,0.027552242972534467
1,1.0740586548600342
2,8.057545745820901
6,6.033793054227883
3,2.9992101890783793
3,2.9692712519114375
7,7.02766012037321
3,3.0149171338428236
3,3.0211243211851007
4,3.9298114958506174
6,6.057852193399137
6,5.992566377247682
6,5.976128874334876
4,3.945468965199624
9,8.479827643356625
1,0.9259319956465578
5,5.015753369559416
0,0.027229789747981556
9,9.067615702682318
5,4.933949512435883
2,1.3112475417300786
8,8.072924291488196
2,1.2091423352824622
0,0.03325759261447932
0,0.03103512635017831
1,0.9728162402463381
7,6.989571482365269
6,6.043587076076707
3,2.9781031646827545
2,1.9081133775462344
1,0.9969428277224992
7,6.9842520556684695
4,1.5240219970172237
6,5.877177941090286
3,2.9975505728587852
1,0.9752620188605854
3,3.041655875685827
9,9.01883317954777
1,0.9305139618655647
7,7.008212328791697
6,6.1278745835140835
