  64 20 1 (0.9 0.4 100000)

    fail match
  0    6   172
  1   77   105
  2   37   140
  3   34   150
  4   29   152
  5   50   132
  6   19   162
  7   27   152
  8   83    91
  9   71   109


Soll,Ist
3,2.8836117176319926
0,3.397648742961638E-14
1,0.16384911624026274
2,9.941429994917982
3,2.8836117176319926
4,3.997309913827884
5,2.5529254773851107
6,6.076285665756666
7,7.075320812638206
8,8.195432662834213
9,8.59634495842131
0,3.5486236745498254E-14
1,0.9154658759026435
2,1.760937416874454
3,2.8832985212963695
4,4.113994278031569
5,3.9123420852329422
6,6.5472711754149095
7,7.018714427683661
8,6.9377351792160376
9,3.882684753508338
0,2.4998248181653716E-13
1,0.8426754312241911
2,2.1032088850122346
3,3.0055119898126357
4,4.129796171150274
5,5.060516308110598
6,6.349490385944962
7,6.767103326574173
8,9.929552670517614
9,4.717002353804104
0,1.6573930380477742E-14
9,5.9855591961820895
5,4.8302901139462415
5,4.786722564271258
6,6.153611346739298
5,4.867842645735911
0,4.6335390751559066E-14
9,2.6486868286081684
8,6.091104447252284
9,8.875181412045698
8,7.238883868070687
4,3.9942197624097058
1,0.591029012287698
7,6.447419901321157
7,7.088423994224849
3,2.8439240062074145
5,7.373792936669458
1,1.1706293146786977
0,4.7838405551493414E-14
0,7.230287195162596E-14
2,7.077988127264251
2,5.839875886218308
7,6.876854950424795
8,6.25092648681226
2,3.5464904489592874
0,5.671236413167772E-14
1,0.5101640952225683
2,9.925695903006934
6,6.561700810660321
3,6.2691391885593495
3,3.291414525253486
7,7.018876215455812
3,3.3350026718803876
3,9.257210976985904
4,4.087190568902933
6,6.2775319892585015
6,5.8943709216577105
6,6.05560412725767
4,4.002615334571774
9,8.264123719790433
1,1.004621595871929
5,4.738902354033917
0,6.252305446713401E-14
9,8.781136164178625
5,4.7157799855276
2,8.522281648824887
8,9.0085038570388
2,0.1355114345059876
0,3.266998842798265E-13
0,2.3879059202566676E-14
1,0.13534518510678875
7,7.075799025688601
6,6.349424046189687
3,4.43137072461318
2,2.076040207512963
1,1.5437770039947527
7,6.847679649586228
4,2.235121502309281
6,5.926812498538986
3,4.576538038779177
1,1.1346345291388042
3,3.5552482810777555
9,9.977083491302194
1,0.4786463039525686
7,7.037596024083537
6,5.750611934819471
8,7.9210471691050035
4,3.978292548989209
3,2.761281832051674
1,0.5893466248471723
4,4.005083653925131
0,7.276133419133938E-12
5,5.083656000226572
3,3.3342395478882745
6,6.196181937567372
9,9.58738705526794
6,5.993527684728708
1,1.1506013879358803
7,6.863569433206815
5,4.720313344237512
4,4.134411621464081
4,4.115016306434167
7,6.980149485547199
