Soll,Ist
3,2.986959306938309
0,8.761024358167623E-6
1,0.9981539722487603
2,2.0763203183836927
3,2.986959306938309
4,3.999034712147101
5,9.130096708755719
6,5.993123536686778
7,7.0049454266509015
8,8.005909654659218
9,9.050548963209103
0,1.3947975602903438E-4
1,1.0085038799337127
2,1.9990097928794186
3,2.9953373984081155
4,3.9903449483765776
5,5.033706098241492
6,5.987349276391316
7,6.9956414716542925
8,8.01647083460941
9,8.943625829446018
0,7.916892139706121E-6
1,0.9987921790473988
2,2.0067405715316187
3,3.0200419626880812
4,4.004210445173765
5,5.065880612525813
6,5.907651854066408
7,2.0729897909115977
8,8.004432554309226
9,7.444958532073793
0,7.784541039586156E-6
9,8.999755184030864
5,5.064060116337835
5,4.951430758604049
6,6.014832628949124
5,4.930655438652239
0,9.585002897437382E-6
9,2.2465479585333643
8,6.615863657584282
9,9.005366983599885
8,7.99964410183557
4,3.9941460480947595
1,1.0073635422335492
7,7.016101566986636
7,7.010129335578734
3,2.992538346075107
5,4.761571005561953
1,1.000674482071819
0,9.500754543876277E-6
0,8.088507669059858E-6
2,7.948710264450288
2,6.21349560647996
7,7.002200322944425
8,7.963477934454511
2,8.952345939024477
0,8.043080756102998E-6
1,0.9993779696798513
2,2.1110907133865457
6,5.9968286241797415
3,2.9970572381340954
3,3.0020366390914766
7,7.000656517336781
3,2.9861403110359417
3,2.9982784218029663
4,3.988591077563854
6,6.003654563151814
6,6.001097548042713
6,6.004458274648632
4,3.990218052541135
9,8.614911134148285
1,0.9967582519055993
5,4.853462512918435
0,8.27540016736125E-6
9,9.00255894956063
5,4.988993232010864
2,1.999412548099728
8,8.005298780064297
2,1.0087356110155405
0,7.553215175786515E-5
0,8.250361712824244E-6
1,0.9362777918652826
7,7.005196724439019
6,6.004712780370932
3,3.0132777653918836
2,2.0039770498581193
1,0.9985615341355957
7,7.03655616113971
4,1.032860838681804
6,5.999535643640476
3,2.9901580744030114
1,1.0097589314722926
3,3.009131974675134
9,9.005696189402736
1,0.9954628068489192
7,7.002662233671407
6,7.88674063981542
8,8.001869507707784
4,3.9992273170268784
3,2.994898047563253
1,0.9973123442000543
4,3.9991433536147136
0,1.6074132072079868E-5
5,5.042127282245756
3,7.985571518071892
6,5.99236860144134
9,9.047511609848485
6,6.007952208662184
1,1.0059688653091226
7,7.005119843393644
5,5.03334042220334
4,4.025938348481379
4,4.001512918537339
7,7.008530233788294
2,2.0032416322924234
8,8.004901768806068
2,8.847607147745213
2,3.064351223680763
5,4.948148046653033
7,7.00039837331132
9,9.016571833190326
5,7.544899108702765
4,3.7210534594387394
8,7.99619998415082
8,2.0503666976386654
4,3.9981940825936007
9,9.233866339488564
0,7.973261902495764E-6
8,8.020910219130833
9,8.968083996055048
8,1.0452405543436192
0,7.83389462451735E-6
1,0.8444596762599135
2,2.006561344934118
3,3.087717330954776
4,0.19301203801993877
5,4.967511929341739
6,5.99572264840676
7,7.005514888113094
8,8.004376885589275
9,8.998843960397508
0,7.790338174147188E-6
1,1.0027058785030456
2,2.009537997533955
3,2.9953955221877355
4,3.368945636424568
5,4.965721241925304
6,6.008726257877608
7,7.003371755595813
8,8.004989407688209
9,9.000361623591553
0,8.094327480626867E-6
1,1.0418224764056985
2,1.9043970890066422
3,3.006137995256543
4,4.039263693190319
5,5.292866455233446
6,6.001603098532326
7,7.0044645065618605
8,7.9899916658323455
9,8.99979156640226
0,7.853303766442258E-6
9,9.004172701979954
5,4.937966144239555
5,4.940828633427738
6,5.998760751898699
5,4.971784860380531
0,7.82495001758595E-6
9,9.005024075920684
8,8.004089080776799
9,9.000250441061583
8,7.993130226126643
4,0.19081621527514792
1,0.9998744474550038
7,7.0060694378956
7,7.003668494066346
3,3.0113780811191955
5,4.965549423840063
1,1.0974366377981288
0,7.963636351000192E-6
0,8.07744687588344E-6
2,2.0038979415151332
2,2.0062541819930715
7,7.003929541876869
8,8.003547146802802
2,2.0100489517697877
0,7.987452618170476E-6
1,1.02215066657691
2,1.4140168152034023
6,6.0062215963068155
3,3.011302417962196
3,3.010123919365496
7,7.7520287551875375
3,3.020411053929335
3,3.0058113308394336
4,3.2842541841350408
6,6.005826815843864
6,6.00448917082819
6,6.003396647230916
4,3.9999314805427213
9,8.997056216683823
1,1.0038760719521875
5,4.996482057172355
0,7.90234924669849E-6
9,9.004604345169243
5,4.693039797757761
2,1.9967193892584088
8,7.993143792135717
2,2.0058898230992313
0,7.854706072452152E-6
0,2.0884432538460763E-5
1,1.0012226150183565
7,5.085479668362628
6,6.004655878038745
3,3.0112677602011035
2,2.0045493668441114
1,1.0148410227505118
7,7.014789189675886
3,3.003434729564986
1,1.0048142887311706
3,3.0025384412224323
9,8.998677130482747
1,0.9977643200410842
7,7.009069172899033
6,6.004867209502076
8,7.995009086078815
4,0.18896882775451204
3,4.278695286085873
1,1.0017278433437484
4,0.18887158970388715
0,7.886117621164106E-6
5,5.09741875772391
3,2.872822547602745
6,6.006457979018426
9,9.000122321546897
6,5.998840338926193
1,0.9967773277287616
7,6.995434574715262
5,4.908941620831083
4,5.305661826154643
4,0.2211999116430542
7,7.018705817466905
2,2.055490879612884
8,8.004494591495991
2,2.0060124676028006
2,1.5312612830912968
5,4.980618327025216
5,5.147797517866907
4,1.1139548777095771
8,8.002652520622867
8,7.999805171178338
4,0.18981689935719342
9,9.004026113446821
0,7.919005287074055E-6
8,7.9611708334993105
9,8.990868704927568
8,8.00524128368157
0,5.013069513138447E-5
1,1.0401077290216614
2,2.0055686095085994
3,3.0063032306800475
4,3.9960680996015485
5,5.00198955944423
6,5.995529880183261
7,7.006818660662075
8,8.004823748653413
9,8.996937521762343
0,7.734971854825251E-6
1,0.9946184896413448
2,2.005865512192176
3,3.0081550804282466
4,3.9954250233232953
5,4.968638854055692
6,5.999302445886512
7,7.0055808638996675
8,8.002008959534207
9,8.513691804566117
0,8.113729521436671E-6
1,1.0495708174841976
2,2.0063404874018147
3,3.0110666839883287
4,4.0006047299882095
5,4.9460786863296375
6,5.999803572595976
7,7.0035891134236605
8,7.9111291174641565
9,8.989143773305447
0,2.391767429554492E-5
9,9.006004606102755
5,4.978324013414026
5,5.071916006760788
6,6.002926717926767
5,5.24139589270035
0,2.033308988879425E-4
9,9.000686923435751
8,8.005249008892275
9,9.024020968573852
8,8.007925299369047
4,3.9983320312505883
1,0.9976703495503908
7,7.006094532976749
7,7.002874243817297
3,2.9995599358913467
5,5.039211030742363
1,0.9991950020872019
0,5.023187696038145E-5
0,1.1327027399928762E-5
2,2.007823439865832
2,2.005298108672352
7,7.005901903490392
8,8.00544657654587
2,2.0045745656716445
0,8.099737217495334E-6
1,1.0078187676498838
2,2.007182187919428
6,6.0059215257389456
3,3.002330679980963
3,3.0025240010454217
7,7.005400885857508
3,3.006362622149724
3,3.0025603156953795
4,3.9972330353686694
6,6.001747422445064
6,6.0023800248187795
6,5.999978304178802
4,4.00506910657231
9,8.996432482698731
1,1.0056423712107527
5,4.64553089922246
0,9.050828155732826E-6
9,9.008752431466373
5,4.920629384894022
2,2.0035738673461383
8,8.00565132154485
2,2.003160031796969
0,4.572193075198878E-5
0,1.2845447949237833E-5
1,1.0109558292175973
7,7.084789996513306
6,6.0044996765047065
3,3.003782903803022
2,2.003075533452333
1,1.1177195615684126
7,7.003162295234882
4,3.999230932502252
6,5.99901574189113
3,3.0077288022511004
1,1.018260030298147
3,3.0030797744383353
9,9.01883641345844
1,0.9972102694663447
7,7.003945523056342
6,6.0006138553370505
8,8.005357965225258
4,4.000805302150452
3,3.009393866974678
1,1.0031946596275396
4,4.059812365062257
0,2.7110089695901534E-4
5,5.009836799303687
3,3.010612354852517
6,6.002286057605323
9,8.996621675619963
6,6.0047616913445125
1,1.0099146102359546
7,7.007317701988201
5,5.054701305545098
4,4.0007544345925465
4,3.998200532033318
7,7.004247191702444
2,2.005417762811239
8,8.002902338137616
2,2.0023645546098248
